26,51,94,5,0
35,33,669,4,0
43,33,686,4,0
33,97,77,6,0
51,99,102,6,0
85,29,488,6,0
88,27,495,6,0
145,86,608,6,0
129,63,692,6,0
88,40,698,5,0
88,51,698,5,0
73,38,713,5,0
70,72,665,5,0
126,42,686,5,0
133,21,699,5,0
141,44,713,5,0
35,27,80,5,0
32,47,664,5,0
27,35,70,4,0
27,44,97,4,0
129,40,692,4,0
78,38,724,4,0
96,44,200,4,0
110,43,537,4,0
139,32,594,4,0
142,60,601,4,0
117,34,668,4,0
126,48,686,4,0
145,24,721,3,0
149,39,728,3,0
85,24,692,3,0
91,78,709,3,0
69,37,706,3,0
75,39,718,3,0
78,32,724,3,0
80,62,730,3,0
35,24,669,3,0
41,60,682,4,0
43,27,686,3,0
25,43,67,4,0
60,37,366,4,0
96,42,624,4,0
108,54,647,4,0
88,48,698,4,0
82,74,735,4,0
85,24,692,6,0
126,70,686,6,0
62,36,442,6,0
23,35,64,4,0
52,46,103,4,0
137,17,706,4,0
99,34,631,3,0
111,42,654,3,0
111,42,654,3,0
114,45,661,3,0
137,24,706,3,0
80,63,730,3,0
46,50,691,3,0
9,40,34,2,0
13,51,43,2,0
51,39,102,2,0
51,59,102,2,0
75,35,466,2,0
99,33,631,2,0
103,31,638,2,0
114,44,661,2,0
117,37,668,2,0
117,33,668,2,0
117,33,668,2,0
33,26,77,5,0
48,27,97,5,0
85,37,692,5,0
33,25,77,4,0
147,43,614,4,0
141,30,713,4,0
6,79,26,9,0
13,43,43,9,0
52,72,103,3,0
108,66,529,2,0
121,19,561,2,0
142,39,601,2,0
99,44,631,2,0
108,51,647,2,0
111,47,654,2,0
114,45,661,2,0
137,15,706,2,0
137,27,706,2,0
137,34,706,2,0
149,36,728,2,0
35,25,80,5,0
96,59,624,5,0
35,24,80,6,0
85,32,488,6,0
142,43,601,6,0
103,22,638,6,0
90,64,704,4,0
8,48,30,4,0
2,24,15,4,0
142,87,601,4,0
142,39,601,4,0
142,39,601,4,0
147,66,614,4,0
108,40,647,4,0
121,29,674,4,0
3,78,9,4,0
19,52,57,5,0
30,29,74,5,0
99,33,631,5,0
88,45,698,5,0
91,56,709,5,0
19,43,57,4,0
33,18,77,4,0
90,39,704,4,0
78,35,724,4,0
25,27,67,4,0
25,27,67,5,0
35,30,80,4,0
35,27,80,4,0
39,30,86,4,0
75,36,466,4,0
145,74,608,4,0
145,43,608,4,0
124,42,680,4,0
73,45,671,4,0
85,50,692,4,0
46,24,691,4,0
52,49,103,5,0
149,43,728,5,0
37,46,673,5,0
46,35,691,5,0
21,40,87,6,0
23,39,64,6,0
51,46,102,6,0
80,42,685,6,0
25,38,67,5,0
139,52,594,5,0
124,58,680,6,0
126,66,686,6,0
48,42,313,9,0
129,38,692,4,0
126,39,686,5,0
99,31,513,2,0
108,51,529,6,0
51,53,296,2,0
99,32,513,5,0
131,22,578,5,0
39,40,86,4,0
73,28,671,3,0
108,43,647,2,1
80,25,685,6,1
56,39,433,5,1
68,29,355,9,1
51,43,424,4,1
85,47,692,4,1
145,27,721,5,1
108,47,647,4,1
145,27,721,4,1
111,45,654,2,1
111,35,654,4,1
117,34,668,4,1
39,29,86,4,1
131,41,578,4,1
50,31,100,3,1
121,56,674,6,1
90,67,704,5,2
18,70,55,5,2
111,47,654,5,2
127,33,570,5,2
48,26,97,5,2
131,45,578,6,2
133,35,699,4,2
90,50,609,6,2
142,39,601,4,2
126,39,686,4,3
96,53,624,4,3
96,39,624,4,4
9,54,55,5,4
99,44,631,5,4
82,45,735,5,4
147,66,614,6,5
124,32,680,3,5
32,32,664,6,5
15,53,48,4,6
48,45,696,4,6
135,34,586,6,6
129,46,692,5,7
51,39,102,6,7
126,42,686,5,7
41,42,89,4,7
44,60,92,4,8
48,33,97,5,8
131,28,578,5,8
108,22,647,2,8
133,25,699,5,9
108,22,647,2,10
135,36,586,5,10
9,54,55,5,10
137,15,706,5,11
129,59,692,4,11
70,38,665,4,11
129,33,692,5,11
37,54,83,5,12
8,68,32,4,13
37,37,673,6,13
50,64,100,6,13
137,34,706,5,14
139,31,594,2,15
129,37,692,5,17
117,33,668,5,19
80,26,685,3,23
43,25,686,4,24
139,96,594,4,26
85,47,692,4,26
52,46,103,3,27
35,27,80,4,28
35,27,80,4,28
124,60,680,4,29
91,73,709,3,30
133,19,699,5,31
39,27,86,5,31
99,59,631,6,32
141,49,713,4,35
52,46,103,3,36
150,79,309,2,37
82,57,735,4,37
149,39,728,4,48
48,44,696,5,49
81,34,480,6,58
149,26,728,6,64
81,43,480,6,71
133,21,699,4,88
149,27,728,5,95
129,43,692,4,103
73,36,671,4,105
121,25,674,5,154
142,41,601,6,196
121,46,674,2,200
129,40,692,2,212
121,27,674,5,1090
3,75,7,5,0
17,51,43,3,0
